cultiu,seca_regad,ha,parcels
GUAR N SIE,R,208.2154,570
ALTRES FRUITERS,R,59.1596000000001,1110
ALTRES FRUITERS,S,13.7252,296
CLEMENTINA,R,253.7753,385
AMETLLER,S,621.821000000001,1373
HORTA,R,442.4325,834
TOMÀQUET,R,122.134,445
COL DE CABDELL,R,13.9663,16
ENCIAM,R,587.738900000001,731
FAVA,R,39.4677,63
GUARET / SUP. LLIURE SEMBRA,S,866.3911,1662
GARROFER,S,1474.5915,4669
GARROFER,R,1365.5698,3910
PATATA,S,16.2813,58
OLIVERA,S,2067.3689,6579
FARIGOLA O TIMÓ,R,0.0529,1
GUARET NO SIE/ SUP. LLIURE SEMBRA,R,212.1284,611
ALBERCOQUERS,R,65.7343,112
HORTA,S,3.1689,29
OLIVERES,S,2853.90089999999,8974
MONGETA,S,0.5442,9
MONIATO,R,3.0635,6
ALBERCOQUERS,S,2.8484,15
OLIVERA,R,6411.39380000008,10182
POMERES,R,75.1672,74
PATATA,R,303.1633,480
AVELLANER,S,4076.5695,5915
AVELLANER,R,13097.0494,14128
GUARET NO SIE/ SUP. LLIURE SE*,R,205.3796,521
ORDI,S,1666.6444,1028
GUAR N SIE,S,236.5286,638
TRITICALE,S,518.4363,284
PERERA,R,3.2276,33
ALFALS SIE,R,10.6927,23
AMETLLERS,R,1488.4742,2110
CLEMENTINA,S,7.105,9
ALBERGÍNIA,R,9.8407,35
ALFÀBREGA,R,2.2038,7
ALFALS NO SIE,R,10.9263,27
PRESSEGUERS,R,122.6904,300
PRUNERES,R,41.5476,99
CARXOFA,R,255.4436,282
GUARET SIE/ SUP. LLIURE SEMBRA,R,202.238,161
TARONGER,R,554.6914,1177
"CEBES, CALÇOTS, PORROS I ALLS",S,12.5587,20
"CEBES, CALÇOTS, PORROS I ALLS",R,458.7308,502
PORRO,R,41.0281,23
AMETLLERS,S,975.5118,1828
CIRERERS,R,22.2039,65
PRESSEGUER,R,59.5991,208
ALFALS NO SIE,S,6.2823,13
TARONGER,S,4.6026,37
NOGUERA,R,36.1674,101
OLIVERES,R,9778.41220000009,15672
CODONY,R,4.3551,9
LLIMONER,R,112.9646,129
MADUIXA,R,2.1078,18
VIVER - PRODUCTOR MVR,R,72.4793,62
MENTA,S,0.2505,5
MONGETA NO SIE,R,124.9753,125
MONGETA SIE,R,9.2342,8
CEBA I CALÇOT,R,214.2253,252
COL-I-FLOR,R,152.3079,112
CARBASSÓ,R,29.6386,62
ALL,R,3.4662,8
COL DE MILÀ,R,36.0728,28
GUARET NO SIE/ SUP. LLIURE SEMBRA,S,322.0948,740
MELÓ,R,39.9866,40
NOGUERES,R,54.8722,122
COL I COLIFLOR,R,532.6114,353
PRÉSSEC PLA,R,3.4725,11
HORTA AUTOCONSUM,R,8.5753,195
ENCIAM,S,17.8286,37
FONOLL,R,197.7034,140
OKRA,R,0.9914,1
"ENDÍVIA, ESCAROLA I XICOIRA",R,74.8775,64
PLANTA ORNAMENTAL,R,22.1576,25
GUARET / SUP. LLIURE SEMBRA,R,717.1989,1540
JULIVERT,R,396.1171,297
LLÚPOL,R,46.5589,52
PEBROT,R,19.1989,69
PÈSOL,R,42.1807,29
CARABASSA,R,179.8907,146
PERERES,R,4.1835,44
VINYES,S,496.7384,668
GROSELLA,R,0.014,1
GUARET NO SIE/ SUP. LLIURE SE*,S,265.3779,685
VINYES,R,169.0093,189
RAÏM DE TAULA,R,2.7557,8
NECTARINS,R,2.2665,11
GUARET SIE/ SUP. LLIURE SEMBRA,S,227.2982,207
GERDS,S,0.0616,1
CIRERERS,S,12.6805,33
FIGUERA,S,2.6232,24
ORDI,R,299.9117,288
BLEDA,R,20.0491,40
KIWI,R,4.9919,17
FAVES I FAVONS NO SIE,R,79.4974,87
FAVES I FAVONS NO SIE,S,0.2454,3
CIVADA,S,544.2988,431
SÍNDRIA,R,163.1091,79
TREPADELLA SIE,S,5.5512,11
COGOMBRE,R,5.2425,19
ESPINAC,R,178.2476,74
BLAT TOU,R,111.8895,107
BLAT DUR,R,21.509,15
RAY-GRASS,R,4.0341,9
ESPECIES AROMÀTIQUES HERBÀCI,R,12.7905,10
SOIA SIE,R,17.5186,2
PÈSOLS SIE,R,61.0482,20
FAVES I FAVONS SIE,R,22.0204,23
VIVER ARBRE I ARBUST,R,262.6787,252
API,R,125.9621,113
PASTANAGA,R,80.5993,21
RAVE,R,2.067,1
MANDARINER HÍBRID,R,7.7798,21
NESPRER,R,0.8822,12
MAGRANER,R,5.1299,29
CORIANDRE,R,92.0106,75
MENTA,R,80.0061,87
PÈSOLS NO SIE,R,34.1678,44
BLAT TOU,S,326.3885,195
BLAT DUR,S,28.0875,22
RAY-GRASS,S,12.7349,10
PRESSEGUERS,S,7.0685,18
PRUNERES,S,0.2293,6
COL I COLIFLOR,S,1.4964,5
CARXOFA,S,4.5994,15
JULIVERT,S,9.5177,13
GARLANDA NO SIE,S,0.9586,3
TÒFONA,S,32.8369,49
FIGUERA,R,2.1633,29
CIVADA,R,84.876,110
PISTATXER O FESTUC,R,0.3163,3
TRITICALE,R,52.6765,47
POMELO O ARANJA,R,7.9229,11
PÈSOLS SIE,S,10.1255,12
ESPECIES AROMÀTIQUES HERBÀCI,S,4.1318,4
ESPINAC,S,0.0471,3
MAGRANER,S,19.2183,16
FONOLL,S,0.3886,8
PÈSOLS NO SIE,S,17.1793,13
CAQUI,R,0.0334,1
CASTANYERS,S,2.5726,13
NOGUERES,S,7.9152,26
ESPARRECS,S,0.219,1
FESTUCA,R,14.2005,9
NAP I COL XINESA,R,12.2728,3
TOMÀQUET,S,1.8889,9
POMERES,S,5.7893,8
FLORS I ORNAMENTALS,R,1.7993,2
ESPARRECS,R,0.0472,2
FLORS I ORNAMENTALS,S,0.044,1
CÀNEM,R,4.6699,5
COLZA,R,9.7736,13
VECES NO SIE,R,0.7904,14
TREPADELLA NO SIE,R,0.081,1
GIRA-SOL,S,2.02,2
COLZA,S,41.6735,13
MONGETA NO SIE,S,0.1675,2
TREPADELLA NO SIE,S,49.837,32
VEÇA I CIVADA SIE,S,25.5314,11
CIGRONS NO SIE,R,0.3157,2
ESPECIES AROMÀTIQUES LLENYOSES,R,1.8589,7
FLOR TALLADA,R,17.5432,10
FLOR TALLADA,S,2.3032,5
MAÇANELLA O SEMPREVIVA,S,0.7126,2
MELÓ,S,0.6259,5
PASTURES DE MENYS DE 5 ANYS,R,13.1045,6
ALBERCOQUER,R,52.538,78
PASTURES DE MENYS DE 5 ANYS,S,51.9242,48
PLANTA ORNAMENTAL,S,2.4881,5
PRÉSSEC PLA,S,0.4937,4
VIVER ARBRE I ARBUST,S,5.8974,16
ALFALS SIE,S,0.5314,1
ALVOCAT,R,5.748,14
ANET,R,0.0461,1
API,S,0.2973,4
ARTEMÍSIA O ESTRAGÓ,R,0.0525,1
BLAT DE MORO,S,1.2751,4
BLAT DE MORO,R,0.6347,1
AMETLLER,R,998.156599999998,1465
CAMELINA,R,4.5418,2
CARBASSÓ,S,0.0998,1
CORIANDRE,S,0.3962,7
ESPECIES AROMÀTIQUES HERBÀCIES,R,44.8714,34
ESPECIES AROMÀTIQUES HERBÀCIES,S,0.9325,4
ESPECIES AROMÀTIQUES LLENYOSES,S,1.4437,5
GUIXES NO SIE O PEDREROL NO SIE,R,0.0216,1
HORTA AUTOCONSUM,S,0.3857,8
LLENTIES NO SIE,R,0.775,1
MARDUIX,R,0.0314,1
MONGETA SIE,S,0.0754,1
MOSTASSA,R,36.2766,17
MOSTASSA,S,0.191,1
VEÇA,R,3.9271,9
ALFALS,R,16.9849,28
ORENGA,R,0.05,1
PEBROT,S,0.166,5
SÀLVIA,R,0.0546,1
REMOLATXA,R,1.4345,7
ROMANÍ,R,0.2418,3
SAFRÀ,S,0.2143,3
SAJOLIDA,R,0.0348,1
VEÇA I CIVADA NO SIE,S,9.6203,13
VEÇA I CIVADA SIE,R,4.9032,1
VEÇA I ORDI NO SIE,S,0.014,1
VECES NO SIE,S,1.5466,3
VECES SIE,R,10.122,4
ALBERCOQUER,S,1.6831,17
ALFALS,S,2.0103,8
BARREJA FARRATGERES,R,2.3447,2
BARREJA FARRATGERES,S,6.6688,9
RAIGRÀS MULTIFLORUM,R,2.3471,2
CEBA I CALÇOT,S,2.9226,33
BRÒCOLI,R,18.1258,10
CACAUET,R,2.3958,2
CAMELINA,S,0.035,1
CARABASSA,S,0.0228,2
CASTANYER,S,1.292,8
CEBA TENDRA,R,4.2085,10
CIGRÓ,R,33.1307,9
CIGRÓ,S,1.0509,1
CIRERER,R,12.6236,35
CIRERER,S,4.2377,19
CODONY,S,0.0455,4
COL-I-FLOR,S,0.0847,1
COL DE BRUSEL·LES,R,5.9782,4
COL XINESA,R,2.0898,2
COLRAVE,R,4.043,4
COTÓ,R,1.8884,2
ESCAROLA,R,19.1269,14
GARLANDA,S,0.6701,2
GUARET BIODIVERSITAT,S,5.158,14
LLENTIA,R,22.8679,8
LLENTIA,S,1.0735,2
MONGETA,R,38.3792,45
NECTARINER,R,2.0792,9
NOGUERA,S,9.7367,29
VINYA,R,114.5117,140
TRÈVOL,R,0.3573,3
PRUNERA,R,21.4846,57
PERERA,S,0.1826,5
PÈSOL,S,12.8757,21
POMERA,R,34.7164,46
POMERA,S,1.4314,7
PORRO,S,0.2607,6
PRESSEGUER,S,3.5332,14
PRUNERA,S,0.605,11
QUINOA,R,9.2564,6
ROMANESCO,R,2.7404,4
SORGO,R,1.9888,5
SORGO,S,10.4347,12
TÒFONA,R,0.3207,3
TREPADELLA,R,0.1596,2
TREPADELLA,S,5.8316,12
VEÇA I BLAT,R,2.8122,3
VEÇA I CIVADA,S,11.5028,5
VEÇA I ORDI,R,3.0128,3
VINYA,S,324.4224,457
COL KALE,R,3.0906,4
CROTALÀRIA,R,4.7088,2
COL GEGANT,R,0.2226,1
NAP,R,3.8393,2
FAVA,S,1.2356,7
VEÇA,S,3.2612,4
NECTARINER,S,0.2516,1
VIVER - PRODUCTOR MVR,S,1.881,8
ALL,S,0.1537,1
ANTARA VINYA,S,1.0142,7
CIVADA I BLAT,S,2.243,1
